Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
teams-roi,3149,0,0,0,14,12,13,22,3,34,89,0,2,3,27,17,40,116,0,36,0.53,5,26,1
bonfire,3133,0,0,0,15,17,19,25,0,42,130,0,30,2,29,13,54,200,0,63,1.75,0,0,0
login,3072,0,0,0,15,22,19,34,0,34,101,1,29,3,27,11,37,129,1,22,2.19,0,0,0
product-announcement,3057,0,0,0,6,9,11,23,6,21,74,2,19,10,6,2,14,38,0,6,1.33,29,65,10
teamcity,3018,0,0,0,11,16,16,25,1,42,108,0,34,3,33,12,49,143,0,74,1.24,1,10,0
so-for-teams-basic,2983,0,0,0,19,24,25,43,6,53,73,0,24,1,46,11,64,162,0,42,0.77,7,11,0
community-products,2951,0,0,0,5,8,6,17,9,10,22,0,2,0,10,5,12,20,0,13,8.75,40,66,10
events,2934,0,0,0,12,17,10,28,1,22,78,0,7,0,13,6,48,144,0,21,0.27,1,1,3
subject-matter-experts,2909,1,0,1,23,19,33,40,0,43,153,0,33,2,36,5,56,214,1,75,0.69,0,0,0
so-culture,2881,0,0,0,13,24,20,39,0,21,165,0,15,0,17,5,39,251,3,24,1.19,0,0,0
zcpq,2843,0,0,0,4,4,10,13,0,31,68,0,15,2,24,9,34,82,2,51,0.5,0,0,0
job-listing,2747,0,0,0,13,12,12,19,2,65,112,1,31,9,43,8,60,133,0,45,1.54,4,5,0
community-building,2706,0,0,0,13,18,21,35,1,34,151,0,50,8,17,0,43,142,0,29,3.38,1,3,0
meta,2673,0,0,0,8,12,14,19,1,27,94,0,38,0,19,12,52,211,2,71,1.75,1,3,0
admin,2655,0,0,0,25,23,28,48,1,48,98,0,27,3,40,10,52,139,3,52,0.81,1,1,1
okta,2651,0,0,0,18,15,19,33,1,34,76,0,6,2,29,12,36,107,0,22,0.77,1,2,0
localization,2649,0,0,0,18,17,24,36,0,37,95,0,33,2,30,9,41,131,1,47,19.62,0,0,0
authentication,2649,0,0,0,23,22,22,41,2,42,80,0,24,3,32,9,44,110,3,27,1.04,3,2,5
knowledge-reuse,2625,0,0,0,16,21,22,32,1,24,103,0,6,0,17,5,31,101,2,27,9.76,1,4,0
content-health,2576,6,0,6,18,19,21,34,2,34,119,0,21,3,25,2,35,115,1,38,1.15,4,27,9
platform-engineering,2544,0,0,0,4,8,7,17,4,8,12,0,5,0,6,1,10,26,0,9,5.04,12,29,5
deleted-profiles,2529,0,0,0,14,21,22,33,0,27,76,1,27,2,21,4,33,92,0,31,10.13,0,0,0
customer-success-ads,2516,0,0,0,9,12,15,22,1,39,57,0,12,2,17,21,44,66,0,19,1.01,1,0,0
so-for-teams-enterprise-hosted,2488,0,0,0,19,16,17,28,2,34,62,0,13,1,32,13,41,95,0,29,1.24,2,2,3
faq,2460,0,0,0,2,3,2,7,3,2,6,0,0,0,2,1,3,8,0,2,3.19,11,48,29
gdpr,2459,0,0,0,17,17,21,36,3,38,63,0,28,4,26,4,37,76,0,19,2.45,3,4,0
unified-search,2457,0,0,0,14,12,14,30,4,22,59,0,8,2,20,3,26,76,1,23,1.46,5,38,13
reach-and-relevance,2439,0,0,0,13,12,14,24,3,25,41,0,1,0,20,13,32,56,0,28,2.38,8,7,1
tagging-strategy,2423,0,0,0,21,23,23,40,5,33,100,0,21,1,27,3,38,135,1,56,2.19,5,31,6
revops,2421,4,0,4,18,24,18,40,1,51,97,0,25,13,30,1,47,89,0,15,1.22,1,1,0
office-equipment,2417,0,0,0,7,16,18,31,3,10,46,0,9,0,8,2,24,98,0,30,0.79,3,20,4
teams-migration,2412,0,0,0,15,12,22,36,3,26,50,0,18,3,21,3,31,59,0,40,3.17,4,15,1
vivun,2390,0,0,0,10,13,8,16,2,26,62,0,10,1,24,8,31,69,0,14,3.75,3,11,0
tdd,2380,0,20,20,6,4,13,17,3,11,39,0,10,1,9,2,17,65,2,28,1.05,3,11,0
feature-request,2380,0,0,0,17,17,31,43,2,37,118,0,46,8,23,1,33,86,0,36,19.81,3,26,29
teams-api-v3,2378,3,0,3,16,14,19,34,5,35,75,0,11,5,23,8,35,65,0,47,11.26,6,36,3
tsm,2370,0,0,0,9,12,8,19,4,11,30,0,2,0,10,5,14,36,0,9,0.46,11,13,6
customizing-sites,2355,0,0,0,16,15,11,26,0,43,92,0,35,4,28,8,49,110,0,38,6.81,0,0,0
stacks,2298,0,2,2,11,17,19,29,5,29,78,0,23,0,25,10,49,130,0,36,1.71,16,7,1
training,2276,0,0,0,14,22,16,37,3,33,88,0,13,1,24,14,45,97,0,22,0.91,3,14,0
mac,2275,0,0,0,14,16,10,28,3,21,43,0,9,1,17,8,24,51,0,7,1.59,3,16,2
localsede,2255,0,0,0,10,13,16,24,1,22,50,0,15,0,21,8,26,77,0,25,9.67,1,0,0
email-notifications,2236,0,0,0,20,19,27,38,1,45,86,0,37,2,38,4,45,108,0,52,3.85,1,0,0
product-support-playbook,2233,0,0,0,2,2,2,6,5,2,1,0,0,0,2,1,2,3,0,2,0.36,9,26,0
google-ad-manager,2228,0,0,0,12,13,13,18,1,39,37,0,3,0,29,29,46,52,0,22,19.15,3,2,0
saml,2199,0,0,0,15,15,24,35,4,35,73,0,10,1,32,7,38,86,0,50,0.72,4,6,1
expensify,2180,0,0,0,8,10,9,17,0,22,79,0,7,1,19,10,29,113,0,8,2.28,0,0,0
company-page-ads,2170,0,0,0,11,12,9,16,4,44,88,0,5,6,32,13,44,116,0,45,0.66,4,6,0
accounting,2167,0,0,0,7,13,6,19,0,31,83,0,1,1,22,14,38,123,2,13,0.89,0,0,0
chargify,2149,1,0,1,7,8,12,14,3,28,47,0,5,2,26,14,28,67,0,29,1.06,3,5,9
company-page,2136,0,0,0,13,12,14,24,3,62,90,0,26,5,47,8,64,113,0,41,2.4,3,9,0
implementation,2118,0,0,0,8,17,12,24,3,28,84,2,12,0,23,3,41,130,3,25,1.82,3,32,3
winter-bash,2108,0,0,0,5,6,10,11,0,26,64,0,10,1,21,18,34,80,1,22,42.38,0,0,0
moderator-elections,2091,3,6,7,10,11,10,18,1,18,33,0,19,0,15,12,24,46,0,13,5.83,3,3,0
teams-oncall,2083,0,0,0,7,20,29,36,0,35,83,1,60,5,30,0,36,102,0,52,3.37,0,0,0
local,2077,0,0,0,9,12,15,20,0,22,68,0,13,0,18,7,29,98,0,31,0.48,0,0,0
use-cases,2023,0,0,0,10,18,14,30,0,21,77,0,8,0,17,5,33,85,0,22,16.31,0,0,0
candidate-search,2008,0,0,0,9,7,6,13,0,55,99,1,30,3,38,8,55,120,0,38,0.87,0,0,0
