Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Sme Answers,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
saml,2288,0,0,0,15,16,26,35,4,36,74,0,11,0,34,7,40,0,89,0,51,0.72,4,6,1
training,2284,0,0,0,14,23,16,37,3,32,87,0,13,1,23,14,45,0,97,0,22,1.1,3,14,0
mac,2277,0,0,0,13,16,10,27,3,21,43,0,9,1,17,8,24,0,51,0,7,1.59,3,16,2
localsede,2270,0,0,0,10,13,16,24,1,22,50,0,15,0,21,8,26,0,77,0,25,9.67,1,0,0
expensify,2260,0,0,0,9,10,9,18,0,23,80,0,7,1,19,10,30,0,117,0,8,2.44,0,0,0
company-page-ads,2210,0,0,0,11,12,9,16,4,45,88,0,5,6,33,14,45,0,116,0,45,0.66,4,6,0
accounting,2206,0,0,0,7,13,6,19,0,31,84,0,1,1,22,14,38,0,123,2,13,0.89,0,0,0
company-page,2182,0,0,0,13,12,15,24,3,63,90,0,26,5,49,9,66,0,115,0,42,2.4,3,9,0
teams-oncall,2178,0,0,0,7,20,27,34,0,37,86,1,64,5,32,0,38,0,107,0,53,4.07,0,0,0
implementation,2169,0,0,0,7,16,12,22,3,28,84,2,12,0,23,3,42,0,132,3,25,1.82,3,35,3
chargify,2159,1,0,1,7,7,12,13,2,28,47,0,5,2,26,14,28,5,67,0,29,1.06,3,5,9
moderator-elections,2116,3,6,7,10,11,10,18,1,18,33,0,19,0,15,12,24,17,46,0,11,5.83,3,3,0
winter-bash,2113,0,0,0,5,6,10,11,0,26,64,0,10,1,21,18,34,0,80,1,22,42.38,0,0,0
use-cases,2106,0,0,0,11,17,13,30,0,22,80,0,8,0,17,5,34,0,87,0,22,17.48,0,0,0
