Tag Name,Total Page Views,Individual Smes,Group Smes,Total Unique Smes,Unique Askers,Unique Answerers,Unique Commenters,Unique Contributors,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Sme Answers,Answer Upvotes,Answer Downvotes,Answer Comments,Median Answer Time Hours,Article Count,Article Upvotes,Article Comments
cosine-distance,1840,0,0,0,10,11,12,26,0,10,21,0,10,2,3,0,12,0,17,1,6,9.98,0,0,0
missing-data,1839,0,0,0,17,26,24,50,0,19,32,1,32,4,7,0,29,0,31,0,10,6.32,0,0,0
feature-scaling,1821,0,0,0,14,13,25,37,0,14,26,2,24,0,9,0,17,0,27,0,25,11.83,0,0,0
relational-dbms,1742,0,0,0,4,7,10,17,0,4,24,0,9,1,1,0,7,0,41,2,4,4.29,0,0,0
confusion-matrix,1700,0,0,0,15,19,23,36,0,15,18,2,19,1,6,0,21,0,26,0,22,2.01,0,0,0
overfitting,1616,0,0,0,7,13,13,21,0,8,21,0,14,0,5,0,13,0,32,1,11,2.32,0,0,0
data-stream-mining,1583,0,0,0,9,8,10,21,0,9,29,0,11,3,4,0,9,0,25,0,4,14.76,0,0,0
loss-function,1575,0,0,0,12,6,9,19,0,14,20,0,16,8,2,0,6,0,7,0,6,2.22,0,0,0
scoring,1570,0,0,0,9,9,19,25,0,9,18,0,12,1,4,0,11,0,12,1,23,4.6,0,0,0
competitions,1570,0,0,0,2,2,1,3,0,2,3,0,0,0,2,0,2,0,3,0,1,183.27,0,0,0
amazon-web-services,1520,7,0,7,15,12,7,25,1,26,36,1,11,4,15,13,24,10,25,0,0,0.06,1,0,0
barplot,1492,0,0,0,2,4,2,7,0,2,4,0,0,0,1,0,4,0,8,0,3,15.25,0,0,0
parameter-estimation,1488,0,0,0,12,12,9,21,0,12,27,1,0,2,7,0,14,0,16,0,22,4.61,0,0,0
hierarchical-data-format,1472,0,0,0,7,6,6,15,0,8,25,0,6,5,2,0,6,0,21,0,1,203.43,0,0,0
association-rules,1471,0,0,0,14,17,15,36,0,18,17,3,20,3,9,0,22,0,21,0,16,5.95,0,0,0
featurization,1458,0,0,0,4,13,13,22,0,4,12,2,11,0,3,0,13,0,29,0,21,5.61,0,0,0
marketing,1370,3,0,3,6,9,8,17,0,9,15,0,8,1,3,0,10,0,11,0,4,5.19,0,0,0
ggplot2,1244,0,0,0,8,8,17,24,0,8,15,1,21,1,4,0,9,0,13,1,2,7.5,0,0,0
bayesian-networks,1235,0,0,0,10,13,9,25,0,11,25,0,8,2,4,0,13,0,22,2,9,11.35,0,0,0
experiments,1192,0,0,0,12,18,21,35,0,12,40,3,16,2,5,0,19,0,39,0,23,7.87,0,0,0
aggregation,1103,0,0,0,3,5,6,9,0,3,5,0,2,0,1,0,6,0,9,0,9,1.99,0,0,0
sas,1102,0,0,0,7,10,11,20,0,7,8,3,8,1,5,0,11,0,25,1,8,2.85,0,0,0
rbm,1037,1,0,1,8,8,9,18,0,12,34,0,14,3,4,0,12,0,21,0,24,15.48,0,0,0
survival-analysis,1029,0,0,0,8,7,13,23,0,8,17,0,14,3,2,0,8,0,9,0,4,27.05,0,0,0
geospatial,1021,0,0,0,6,8,12,17,0,7,10,2,9,1,2,0,8,0,9,1,10,7.38,0,0,0
regularization,1007,0,0,0,14,12,11,26,0,14,36,0,10,1,6,0,19,0,40,2,10,8.06,0,0,0
books,1004,0,0,0,6,16,13,26,0,8,15,0,15,1,4,0,16,0,31,0,17,2.45,0,0,0
q-learning,1002,0,0,0,5,5,7,11,0,6,20,0,10,0,1,0,7,0,12,0,10,552.28,0,0,0
text,996,0,0,0,14,16,24,41,0,15,20,2,31,3,5,0,17,0,18,0,16,12.23,0,0,0
gpu,995,0,0,0,4,6,9,12,0,6,26,1,7,0,1,0,9,0,21,0,9,17.14,0,0,0
azure-ml,971,0,0,0,6,7,3,17,1,6,12,0,3,2,3,0,8,0,10,0,0,11.57,1,1,0
anonymization,942,0,0,0,2,8,5,10,0,2,34,0,1,0,1,0,8,0,44,1,10,0.91,0,0,0
churn,917,0,0,0,6,10,12,21,0,6,11,0,5,0,1,0,10,0,15,0,11,1.59,0,0,0
methods,906,0,0,0,7,13,9,21,0,7,9,0,12,1,4,1,13,0,9,0,8,4.21,0,0,0
metadata,854,0,0,0,4,5,9,11,0,4,21,0,9,1,1,0,5,0,28,0,5,11.43,0,0,0
google,830,0,0,0,6,11,7,19,0,6,20,1,3,1,3,0,12,0,33,0,8,1.56,0,0,0
multitask-learning,803,0,0,0,2,1,1,3,0,2,8,0,1,1,0,0,1,0,1,0,0,5644.51,0,0,0
data-wrangling,780,0,0,0,9,15,15,27,0,10,14,1,11,0,9,0,18,0,27,0,14,2.63,0,0,0
discriminant-analysis,776,0,0,0,4,3,2,8,0,4,14,0,2,1,1,0,3,0,7,0,0,58.9,0,0,0
azure,771,3,0,3,6,6,0,10,2,16,21,0,0,1,13,2,15,1,24,0,0,0.01,2,8,3
bayesian,754,0,0,0,8,5,13,18,0,8,16,1,13,3,2,0,7,0,14,0,12,2.78,0,0,0
stanford-nlp,715,0,0,0,6,11,11,19,0,7,11,4,13,1,2,0,12,0,9,0,5,2.62,0,0,0
hr,710,4,4,4,6,3,4,8,2,6,10,0,1,2,4,0,6,5,13,0,5,0.04,2,4,1
energy,710,0,0,0,3,2,7,10,0,3,2,0,6,1,0,0,2,0,4,0,5,72.9,0,0,0
market-basket-analysis,700,0,0,0,5,7,8,15,0,7,5,2,8,1,5,0,8,0,5,0,10,3.63,0,0,0
tsne,679,0,0,0,4,6,8,13,0,5,18,0,3,0,3,0,7,0,13,0,14,11.5,0,0,0
randomized-algorithms,627,0,0,0,2,1,3,3,0,2,10,0,0,0,1,0,2,0,8,0,3,29.71,0,0,0
data-imputation,613,0,0,0,7,10,12,23,0,7,11,0,11,0,0,0,13,0,8,0,6,12.99,0,0,0
json,612,0,0,0,9,9,9,18,0,22,6,2,12,3,11,10,20,0,5,0,1,3.06,0,0,0
hbase,611,0,0,0,2,2,2,4,0,2,1,0,1,0,0,0,2,0,2,0,6,19.51,0,0,0
error-handling,604,0,0,0,5,4,9,13,0,6,5,1,8,2,3,0,4,0,10,0,5,4.78,0,0,0
descriptive-statistics,595,0,0,0,10,9,20,30,0,10,15,2,16,4,1,0,9,0,9,0,19,2.75,0,0,0
markov,579,0,0,0,3,5,2,7,0,3,11,1,1,0,1,0,5,0,7,0,1,22.04,0,0,0
github,536,2,1,3,10,8,2,11,0,14,18,0,0,4,6,2,10,0,12,0,2,0.02,0,0,0
terraform,522,3,27,28,2,1,0,3,1,2,3,0,0,1,1,0,1,1,2,1,0,0.65,1,7,3
libsvm,520,0,0,0,4,5,5,11,0,4,16,0,2,1,1,0,5,0,24,0,4,10.58,0,0,0
graphical-model,488,0,0,0,5,4,5,9,0,5,8,0,1,1,1,0,6,0,11,0,5,0.77,0,0,0
.net,481,0,0,0,8,8,5,15,0,14,16,2,2,0,10,8,14,0,19,0,4,3.53,0,0,0
bioinformatics,480,0,0,0,6,7,2,14,0,7,10,0,3,2,3,0,7,0,8,0,1,17.14,0,0,0
distribution,474,0,0,0,7,8,12,16,0,7,10,2,15,1,3,0,8,0,9,2,15,21.8,0,0,0
